key,moment,status,nextInspectionDate,estimatedCost,notes,key:technician,key:aircraft
## base
maintenanceRecord-01,2022/06/02 00:30,COMPLETED,2025/06/02 00:30,EUR 500000.00,"",technician-01,aircraft-01

## restricciones moment
# valor medio
maintenanceRecord-02,2012/06/02 11:30,PENDING,2015/06/02 11:30,EUR 500000.00,"",technician-01,aircraft-01
# valor mínimo
maintenanceRecord-03,2000/01/01 00:00,COMPLETED,2002/12/31 23:59,EUR 500000.00,"",technician-01,aircraft-01
# valor mínimo + delta
maintenanceRecord-04,2000/01/01 00:01,COMPLETED,2010/12/31 23:59,EUR 500000.00,"",technician-01,aircraft-01


## restricciones status
maintenanceRecord-05,2024/01/01 09:00,PENDING,2026/12/31 23:59,EUR 500000.00,"",technician-01,aircraft-01
maintenanceRecord-06,2024/01/01 09:00,IN_PROGRESS,2026/12/31 23:59,EUR 500000.00, "",technician-01,aircraft-01
maintenanceRecord-07,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 500000.00,"",technician-01,aircraft-01

## restricciones nextInspectionDate
# valor medio
maintenanceRecord-08,2012/06/02 11:30,PENDING,2015/06/02 11:30,EUR 500000.00,"",technician-01,aircraft-01
# valor mínimo
maintenanceRecord-09,2012/06/02 11:30,COMPLETED,2000/01/01 00:00,EUR 500000.00,"",technician-01,aircraft-01
# valor mínimo + delta
maintenanceRecord-10,2012/06/02 11:30,COMPLETED,2000/01/01 00:01,EUR 500000.00,"",technician-01,aircraft-01
# valor máximo - delta

# valor máximo

## restricciones estimatedCost
# valor minimo
maintenanceRecord-11,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"",technician-01,aircraft-01
# valor mínimo + delta
maintenanceRecord-12,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.01,"",technician-01,aircraft-01
# valor maximo - delta
maintenanceRecord-13,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 999999.99,"",technician-01,aircraft-01
# valor maximo
maintenanceRecord-14,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 1000000.00,"",technician-01,aircraft-01
# otra divisa
maintenanceRecord-15,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,USD 500000.00,"",technician-01,aircraft-01

## restricciones notes
# valor minimo
maintenanceRecord-16,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"",technician-01,aircraft-01
# valor minimo + delta
maintenanceRecord-17,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"A",technician-01,aircraft-01
# valor maximo
maintenanceRecord-18,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",technician-01,aircraft-01
# valor maximo - delta
maintenanceRecord-19,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",technician-01,aircraft-01
# caracteres no latinos
maintenanceRecord-20,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"โลเร็ม อิปซัม",technician-01,aircraft-01
maintenanceRecord-21,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"при",technician-01,aircraft-01
maintenanceRecord-22,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"洛伦·伊普森",technician-01,aircraft-01
# inyecciones
maintenanceRecord-23,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"<marquee>Hacked</marquee>",technician-01,aircraft-01
maintenanceRecord-24,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"<script>alert(‘Hacked!’);</script>",technician-01,aircraft-01
maintenanceRecord-25,2024/01/01 09:00,COMPLETED,2026/12/31 23:59,EUR 0.00,"' or 'A' = 'A",technician-01,aircraft-01


## variacion technician
maintenanceRecord-26,2022/06/02 00:30,COMPLETED,2025/06/02 00:30,EUR 500000.00,"",technician-02,aircraft-01

## vairacion airplane
maintenanceRecord-27,2022/06/02 00:30,COMPLETED,2025/06/02 00:30,EUR 500000.00,"",technician-01,aircraft-02